Opportunity_ID,Deal_Name,Account_Name,Sales_Rep,Region,Lead_Source,Stage,Amount_USD,Close_Date,Created_Date,Days_in_Stage,Product_Tier,Competitor_Mentioned,Loss_Reason,Is_Outlier,Sales_Cycle_Duration,Month_Created,Month_Closed,Quarter_Created,Quarter_Closed
OPP-10926,Deal for SynergyCorp,SynergyCorp,Charlie Brown,APAC,Referral,Closed Won,4438.77,2025-03-29,2024-11-08,123,Basic,No,NaN,False,141,2024-11,2025-03,2024Q4,2025Q1
OPP-10630,Deal for Prime Ventures,Prime Ventures,Alice Johnson,North America,Partner,Closed Lost,2170.2,2024-12-11,2024-08-12,107,Enterprise,Yes,Budget,False,121,2024-08,2024-12,2024Q3,2024Q4
OPP-10682,Deal for Catalyst Group,Catalyst Group,Charlie Brown,North America,Social Media,Closed Won,10254.29,2024-11-15,2024-07-17,102,Enterprise,No,NaN,False,121,2024-07,2024-11,2024Q3,2024Q4
OPP-10514,Deal for Catalyst Group,Catalyst Group,Bob Williams,North America,Social Media,Closed Lost,4089.44,2024-11-17,2024-10-14,34,Enterprise,No,No Need,False,34,2024-10,2024-11,2024Q4,2024Q4
OPP-10365,Deal for Nexus Enterprises,Nexus Enterprises,Charlie Brown,EMEA,Social Media,Closed Lost,2883.2,2025-01-30,2024-11-09,66,Enterprise,No,Competitor,False,82,2024-11,2025-01,2024Q4,2025Q1
OPP-10655,Deal for Elevate Solutions,Elevate Solutions,Eve Davis,APAC,Event,Closed Lost,6050.06,2025-03-03,2025-01-28,34,Pro,Yes,Competitor,False,34,2025-01,2025-03,2025Q1,2025Q1
OPP-10656,Deal for Evergreen Tech,Evergreen Tech,Alice Johnson,EMEA,Website,Closed Lost,2778.9,2024-10-11,2024-08-07,65,Basic,No,Internal Prioritization,False,65,2024-08,2024-10,2024Q3,2024Q4
OPP-10529,Deal for Velocity Systems,Velocity Systems,Charlie Brown,North America,Partner,Closed Lost,12102.03,2024-12-19,2024-08-30,111,Enterprise,Yes,Timing,False,111,2024-08,2024-12,2024Q3,2024Q4
OPP-10321,Deal for Zenith Global,Zenith Global,Eve Davis,EMEA,Partner,Closed Lost,2850.5,2025-07-22,2025-05-23,40,Basic,No,Budget,False,60,2025-05,2025-07,2025Q2,2025Q3
OPP-10070,Deal for GlobalTech,GlobalTech,Diana Miller,EMEA,Partner,Closed Lost,3811.19,2025-04-28,2025-01-13,91,Pro,No,No Need,False,105,2025-01,2025-04,2025Q1,2025Q2
OPP-10890,Deal for Zenith Global,Zenith Global,Eve Davis,APAC,Website,Closed Lost,3112.78,2024-11-06,2024-10-02,35,Pro,Yes,No Need,False,35,2024-10,2024-11,2024Q4,2024Q4
OPP-10371,Deal for Apex Solutions,Apex Solutions,Alice Johnson,North America,Cold Call,Closed Lost,2609.33,2025-07-20,2025-05-11,70,Pro,No,Price,False,70,2025-05,2025-07,2025Q2,2025Q3
